temperature,humidity,rainfall,wind_speed,crop_type,soil_type,area_acres,days_since_last_irrigation,prev_water_litres,irrigation_needed,crop_stress,recommended_water_l_m2
35.8,67.7,0.0,17.9,Coffee,Peat,4.72,1,138,1,Medium,14.8
34.9,79.1,0.0,19.0,Paddy,Sandy,4.88,6,340,1,High,23.6
36.2,77.7,15.0,9.5,Coffee,Loam,9.14,5,172,0,Low,0.0
28.7,37.3,15.0,23.0,Pepper,Peat,8.05,3,424,0,Low,0.0
36.7,91.6,0.0,26.8,Coconut,Silty,5.09,5,182,1,High,15.5
25.4,47.2,60.0,14.6,Rubber,Loam,9.23,2,241,0,Low,0.0
33.8,88.7,0.0,13.8,Rubber,Silty,8.16,2,47,1,Medium,18.0
21.1,35.2,0.0,24.3,Coffee,Loam,3.46,2,442,1,Medium,10.1
38.5,48.2,35.0,4.5,Coffee,Chalky,7.03,2,53,0,Low,0.0
30.0,73.0,8.0,12.6,Coconut,Clay,3.15,7,285,0,Low,0.0
38.2,35.5,0.0,8.8,Coconut,Clay,1.35,6,66,1,High,17.0
35.8,79.4,8.0,4.1,Coffee,Peat,8.31,8,126,0,Low,0.0
36.8,77.0,35.0,6.1,Paddy,Sandy,1.24,3,413,0,Low,0.0
20.5,53.4,60.0,6.7,Pepper,Peat,9.5,1,44,0,Low,0.0
38.1,66.4,60.0,20.4,Paddy,Sandy,8.05,5,187,0,Low,0.0
22.8,77.6,60.0,11.1,Pepper,Sandy,3.17,7,214,0,Low,0.0
37.7,59.3,0.0,4.5,Tea,Peat,8.5,0,232,1,High,14.9
20.6,47.9,0.0,19.5,Vegetables,Clay,7.34,9,9,1,High,17.3
30.5,73.2,0.0,9.8,Pepper,Chalky,8.31,7,334,1,High,12.2
29.9,43.6,35.0,21.3,Pepper,Chalky,8.88,7,353,0,Low,0.0
33.7,51.3,0.0,11.6,Tea,Clay,5.36,9,273,1,High,15.1
33.4,38.8,0.0,15.2,Vegetables,Peat,9.43,8,64,1,High,18.5
30.7,87.0,2.5,22.9,Tea,Loam,4.62,0,197,1,Medium,11.5
38.3,40.4,0.0,5.0,Banana,Clay,9.34,8,119,1,High,22.7
22.6,50.3,0.0,20.0,Paddy,Silty,1.73,3,430,1,High,19.8
25.1,63.5,0.0,19.5,Coconut,Clay,3.92,6,27,1,Medium,13.5
29.0,41.7,60.0,12.8,Pepper,Clay,1.0,8,12,0,Low,0.0
27.9,84.3,35.0,21.3,Paddy,Clay,8.76,5,439,0,Low,0.0
32.3,82.8,35.0,18.6,Coconut,Clay,1.8,6,291,0,Low,0.0
34.0,53.9,2.5,5.3,Pepper,Chalky,2.39,3,20,1,High,15.1
27.0,38.5,15.0,22.8,Banana,Silty,1.45,9,45,0,Low,0.0
24.6,89.7,0.0,4.5,Pepper,Chalky,4.43,8,386,1,Medium,11.6
30.1,70.7,60.0,21.4,Paddy,Silty,0.9,9,229,0,Low,0.0
34.5,62.3,60.0,22.6,Coffee,Silty,9.77,5,180,0,Low,0.0
21.5,58.0,0.0,6.9,Vegetables,Peat,3.75,6,441,1,High,14.9
32.2,69.2,60.0,11.2,Pepper,Peat,9.75,2,456,0,Low,0.0
30.4,84.8,35.0,22.7,Coffee,Peat,4.28,3,103,0,Low,0.0
21.2,48.7,0.0,18.5,Banana,Silty,5.0,9,3,1,High,19.8
37.9,82.1,60.0,19.6,Rubber,Silty,7.88,0,58,0,Low,0.0
33.8,72.2,0.0,18.9,Coconut,Loam,5.99,4,455,1,High,16.5
27.4,75.4,0.0,23.4,Tea,Silty,3.7,5,187,1,Medium,12.2
21.2,76.4,0.0,7.5,Banana,Silty,6.49,7,53,1,Medium,17.7
25.7,80.7,60.0,16.0,Banana,Chalky,1.22,5,61,0,Low,0.0
35.3,62.6,0.0,8.3,Tea,Chalky,5.83,5,92,1,High,15.9
37.1,75.5,0.0,27.5,Banana,Sandy,8.61,5,168,1,High,23.8
38.1,94.7,60.0,26.9,Vegetables,Clay,2.58,4,88,0,Low,0.0
37.5,45.6,15.0,18.9,Coconut,Chalky,2.31,2,284,0,Low,0.0
37.3,91.6,0.0,13.5,Coffee,Sandy,9.69,7,140,1,High,20.4
34.7,53.6,15.0,19.4,Tea,Clay,2.05,7,241,0,Medium,0.0
34.7,64.9,0.0,24.0,Pepper,Peat,4.08,9,254,1,High,16.5
24.2,54.3,0.0,16.4,Coffee,Loam,2.91,8,348,1,High,11.9
32.6,42.1,0.0,7.7,Tea,Loam,9.57,0,159,1,High,12.1
29.1,73.1,2.5,22.1,Rubber,Loam,9.53,9,205,1,Medium,12.5
38.9,58.2,8.0,12.6,Pepper,Clay,2.78,9,153,0,Medium,0.0
37.4,41.1,0.0,24.2,Paddy,Clay,2.67,0,400,1,High,20.6
32.9,48.5,2.5,18.0,Rubber,Loam,4.56,9,370,1,High,11.1
26.7,88.6,35.0,24.3,Banana,Peat,7.75,6,361,0,Low,0.0
36.9,67.7,8.0,18.2,Paddy,Loam,6.14,8,474,0,Low,0.0
21.3,91.4,8.0,15.0,Tea,Loam,8.44,3,481,0,Low,0.0
34.7,56.2,2.5,7.6,Paddy,Clay,5.62,7,115,1,High,21.7
20.7,42.7,15.0,16.8,Banana,Clay,1.08,5,356,0,Low,0.0
33.7,47.0,35.0,11.3,Banana,Silty,2.69,2,341,0,Low,0.0
33.9,93.0,15.0,21.6,Pepper,Clay,8.56,6,313,0,Low,0.0
25.8,54.5,0.0,10.1,Rubber,Chalky,1.69,5,227,1,High,13.9
34.3,58.6,8.0,7.6,Coffee,Loam,4.44,9,201,0,Medium,0.0
20.4,51.1,15.0,18.0,Rubber,Sandy,5.08,0,323,0,Low,0.0
38.0,72.9,0.0,22.2,Vegetables,Clay,5.38,8,50,1,High,19.5
37.7,84.7,60.0,8.3,Tea,Loam,8.13,6,377,0,Low,0.0
33.9,86.7,0.0,4.7,Paddy,Peat,1.85,5,261,1,High,22.7
23.0,42.1,0.0,21.4,Tea,Peat,9.5,0,336,1,Medium,11.5
23.1,82.2,60.0,25.8,Paddy,Loam,7.93,2,487,0,Low,0.0
35.2,72.0,0.0,14.5,Pepper,Loam,5.26,5,376,1,High,16.1
30.3,60.8,8.0,21.2,Vegetables,Peat,9.63,2,146,0,Low,0.0
27.5,42.9,0.0,23.4,Tea,Silty,6.44,1,375,1,Medium,13.3
29.5,39.3,15.0,19.0,Rubber,Sandy,8.41,2,178,0,Low,0.0
20.2,75.4,2.5,8.5,Pepper,Chalky,4.21,4,282,1,Medium,11.6
37.8,60.8,2.5,13.7,Vegetables,Loam,3.88,1,367,1,Medium,19.3
32.9,39.3,15.0,13.0,Pepper,Clay,6.6,5,390,0,Medium,0.0
32.0,46.9,0.0,22.8,Banana,Silty,3.14,1,318,1,High,17.7
38.6,39.1,8.0,27.5,Coconut,Chalky,5.7,8,452,0,Medium,0.0
23.6,69.9,0.0,12.3,Pepper,Loam,6.25,1,344,0,Medium,0.0
34.1,72.8,60.0,19.8,Vegetables,Sandy,6.23,6,218,0,Low,0.0
21.4,92.1,0.0,14.3,Pepper,Silty,4.85,2,366,0,Medium,0.0
30.5,73.5,15.0,27.2,Tea,Loam,6.92,0,351,0,Low,0.0
31.6,53.8,2.5,10.0,Coconut,Peat,2.15,2,153,1,High,11.8
31.6,47.8,0.0,25.2,Rubber,Chalky,6.44,8,492,1,High,11.6
20.3,70.0,0.0,17.0,Rubber,Clay,2.59,8,236,1,Medium,12.5
34.0,47.9,15.0,6.4,Coconut,Loam,4.62,2,243,0,Low,0.0
34.2,89.9,2.5,24.7,Pepper,Peat,5.37,9,402,1,High,16.4
31.7,73.3,0.0,20.8,Banana,Clay,8.27,3,46,1,High,16.1
26.8,35.9,0.0,9.9,Coffee,Loam,4.86,2,317,1,Medium,12.4
32.8,39.9,60.0,12.0,Coconut,Chalky,4.14,3,442,0,Medium,0.0
25.4,82.2,0.0,18.8,Paddy,Loam,5.45,2,493,0,Medium,0.0
27.1,90.2,15.0,23.2,Tea,Clay,8.72,0,181,0,Low,0.0
36.3,37.1,0.0,14.9,Banana,Sandy,2.86,5,167,1,High,24.8
32.3,91.2,2.5,14.1,Tea,Chalky,7.96,9,184,1,High,10.8
31.2,59.5,0.0,15.8,Pepper,Silty,1.5,6,2,1,High,11.6
32.4,50.6,15.0,6.7,Banana,Peat,7.97,4,241,0,Medium,0.0
36.8,83.8,2.5,14.7,Pepper,Peat,0.58,7,233,1,High,16.1
26.8,56.2,2.5,24.9,Banana,Chalky,9.18,4,35,1,High,18.5
27.1,51.3,60.0,25.0,Banana,Peat,4.23,2,108,0,Low,0.0
29.6,46.6,15.0,23.1,Tea,Clay,3.78,2,413,0,Low,0.0
28.3,71.6,8.0,15.0,Tea,Peat,7.36,3,494,0,Low,0.0
29.3,60.8,35.0,4.0,Coconut,Peat,7.46,1,93,0,Low,0.0
23.1,40.0,0.0,13.9,Coffee,Sandy,8.88,9,137,1,High,15.5
31.1,42.1,0.0,18.6,Vegetables,Chalky,3.04,5,398,1,High,17.0
30.9,94.2,0.0,14.0,Vegetables,Clay,5.64,9,423,1,High,16.8
23.3,65.0,0.0,17.1,Paddy,Sandy,0.71,0,244,0,Medium,0.0
22.2,55.2,60.0,27.5,Paddy,Peat,4.22,0,450,0,Low,0.0
23.9,65.5,8.0,22.6,Vegetables,Clay,8.64,2,206,0,Low,0.0
36.8,48.3,0.0,10.1,Paddy,Chalky,7.37,7,311,1,High,23.3
35.6,85.6,0.0,7.1,Vegetables,Clay,5.55,2,146,1,Medium,21.4
36.8,63.0,8.0,13.8,Paddy,Sandy,9.07,1,223,0,Low,0.0
20.8,63.8,35.0,17.0,Pepper,Silty,5.68,0,172,0,Low,0.0
28.6,65.8,15.0,14.4,Coffee,Peat,5.81,2,338,0,Low,0.0
21.3,78.8,60.0,5.6,Vegetables,Silty,4.91,3,330,0,Low,0.0
32.5,77.5,0.0,13.1,Coconut,Chalky,8.5,8,347,1,High,12.5
21.8,41.2,60.0,5.6,Coffee,Clay,6.05,4,367,0,Low,0.0
34.3,83.2,0.0,22.2,Rubber,Peat,2.47,6,91,1,High,14.8
36.9,80.0,0.0,10.2,Tea,Loam,4.62,9,291,1,High,17.4
30.3,80.5,2.5,15.4,Banana,Loam,3.07,7,103,1,High,17.3
24.6,47.9,15.0,24.8,Coconut,Silty,7.58,0,217,0,Low,0.0
33.2,58.0,0.0,14.8,Vegetables,Clay,3.08,5,238,1,High,20.5
34.2,48.5,15.0,10.5,Pepper,Peat,7.1,3,390,0,Medium,0.0
25.0,74.7,35.0,23.7,Coffee,Chalky,7.97,9,356,0,Low,0.0
34.2,44.0,60.0,4.7,Tea,Chalky,0.82,4,95,0,Medium,0.0
24.6,68.4,60.0,24.6,Coffee,Chalky,4.58,7,231,0,Low,0.0
34.0,61.2,8.0,23.8,Coconut,Loam,8.22,5,175,0,Low,0.0
35.7,89.2,8.0,22.0,Coffee,Peat,8.65,2,350,0,Low,0.0
20.8,59.7,0.0,27.1,Rubber,Loam,8.57,5,458,1,High,10.1
21.5,53.7,15.0,4.3,Vegetables,Sandy,7.21,3,415,0,Low,0.0
22.5,65.7,0.0,17.5,Coffee,Peat,8.71,9,338,1,Medium,12.3
38.8,80.4,0.0,20.2,Banana,Loam,6.0,2,342,1,Medium,23.7
37.7,55.5,8.0,19.2,Banana,Loam,4.71,1,387,0,Low,0.0
36.4,62.7,15.0,18.2,Rubber,Loam,8.41,6,181,0,Low,0.0
27.1,91.5,8.0,19.2,Tea,Clay,6.62,8,488,0,Low,0.0
21.3,68.3,0.0,19.3,Pepper,Clay,2.2,5,213,1,Medium,12.3
28.6,91.9,0.0,4.5,Coffee,Clay,6.29,7,117,1,Medium,12.7
37.3,73.3,0.0,13.6,Banana,Sandy,5.94,5,321,1,High,26.7
31.1,70.6,60.0,18.3,Pepper,Peat,4.52,0,127,0,Low,0.0
31.7,49.8,15.0,19.8,Tea,Peat,9.77,7,431,0,Medium,0.0
27.1,83.0,60.0,23.3,Rubber,Loam,0.79,9,464,0,Low,0.0
31.8,93.4,60.0,26.6,Banana,Chalky,1.72,6,308,0,Low,0.0
38.5,84.0,60.0,25.4,Banana,Loam,5.74,1,433,0,Low,0.0
27.9,45.1,0.0,15.3,Vegetables,Sandy,1.21,4,83,1,High,20.9
34.4,93.1,60.0,4.2,Tea,Loam,3.6,7,92,0,Low,0.0
24.4,42.8,35.0,12.8,Pepper,Peat,3.37,3,100,0,Low,0.0
23.2,88.9,0.0,12.2,Tea,Chalky,5.1,6,10,1,Medium,12.3
35.3,43.2,15.0,22.7,Coffee,Chalky,3.46,6,144,0,Medium,0.0
28.4,94.1,0.0,23.7,Coconut,Peat,4.48,8,277,1,Medium,12.9
30.9,75.0,60.0,19.9,Coconut,Peat,9.9,8,39,0,Low,0.0
27.1,46.7,0.0,15.3,Paddy,Silty,5.09,2,443,1,Medium,17.4
36.3,59.4,35.0,20.8,Rubber,Clay,5.38,7,396,0,Medium,0.0
36.9,84.1,15.0,17.6,Paddy,Silty,5.15,5,131,0,Low,0.0
38.4,90.9,8.0,19.9,Vegetables,Chalky,8.62,4,221,0,Low,0.0
36.2,64.4,15.0,23.8,Vegetables,Peat,5.98,6,71,0,Low,0.0
27.1,82.1,60.0,23.1,Rubber,Loam,3.71,4,189,0,Low,0.0
38.8,36.5,35.0,9.2,Coconut,Silty,2.87,5,387,0,Medium,0.0
20.0,87.2,0.0,5.3,Pepper,Peat,2.7,3,480,1,Medium,12.2
23.8,52.6,60.0,26.1,Banana,Chalky,6.29,9,110,0,Low,0.0
37.3,63.1,0.0,22.5,Banana,Sandy,7.72,0,285,1,Medium,27.0
34.6,58.9,15.0,15.4,Rubber,Peat,7.75,6,336,0,Medium,0.0
29.7,71.9,0.0,15.2,Pepper,Peat,0.98,3,413,1,Medium,12.2
28.3,85.4,0.0,23.1,Rubber,Sandy,2.55,0,236,0,Medium,0.0
22.1,71.5,60.0,26.1,Pepper,Clay,6.3,9,189,0,Low,0.0
21.1,69.1,35.0,22.5,Coffee,Sandy,6.94,4,423,0,Low,0.0
37.7,58.2,0.0,11.6,Banana,Loam,5.48,8,432,1,High,20.9
26.6,36.8,0.0,11.1,Coffee,Loam,6.55,0,5,1,Medium,12.7
26.0,85.9,35.0,18.4,Pepper,Silty,3.83,0,298,0,Low,0.0
26.5,62.3,0.0,21.2,Paddy,Silty,6.42,2,185,0,Medium,0.0
25.3,43.5,60.0,14.6,Paddy,Sandy,3.76,7,96,0,Low,0.0
37.8,46.1,60.0,14.9,Vegetables,Silty,2.07,7,75,0,Medium,0.0
25.2,55.5,8.0,14.7,Coconut,Loam,2.84,5,489,0,Low,0.0
37.2,73.9,60.0,17.9,Rubber,Peat,1.59,0,270,0,Low,0.0
28.8,86.9,2.5,13.9,Coconut,Sandy,9.01,6,131,1,Medium,14.3
33.1,51.3,0.0,21.5,Rubber,Sandy,6.24,3,432,1,High,20.3
23.3,64.1,2.5,10.9,Tea,Sandy,3.35,3,462,1,Medium,14.7
23.1,42.0,8.0,12.5,Rubber,Silty,7.46,3,90,0,Low,0.0
37.7,84.3,15.0,16.6,Coffee,Loam,4.4,9,344,0,Low,0.0
37.9,40.0,0.0,23.2,Banana,Sandy,5.98,6,36,1,High,23.5
38.6,47.9,0.0,25.5,Coconut,Clay,7.15,2,29,1,High,17.5
24.2,87.4,8.0,17.6,Tea,Peat,2.84,9,93,0,Low,0.0
24.9,93.2,8.0,9.8,Coconut,Silty,0.76,0,438,0,Low,0.0
24.1,94.4,0.0,10.1,Tea,Sandy,3.91,4,334,1,Medium,16.3
29.1,56.0,60.0,7.8,Paddy,Clay,5.79,0,165,0,Low,0.0
28.9,63.9,15.0,17.6,Vegetables,Peat,5.98,0,414,0,Low,0.0
25.8,91.0,15.0,20.3,Coconut,Clay,4.5,1,25,0,Low,0.0
37.8,53.7,15.0,7.9,Coffee,Sandy,9.73,0,248,0,Low,0.0
33.6,39.1,60.0,9.7,Tea,Loam,7.85,2,336,0,Low,0.0
32.3,48.9,0.0,13.7,Coffee,Silty,8.24,0,326,1,High,11.0
22.0,56.3,8.0,16.8,Coffee,Chalky,3.14,3,295,0,Low,0.0
23.0,84.6,15.0,7.8,Coconut,Silty,5.42,1,286,0,Low,0.0
21.8,54.1,35.0,21.6,Paddy,Peat,8.45,6,363,0,Low,0.0
37.4,73.1,0.0,10.9,Vegetables,Sandy,3.49,1,196,1,Medium,24.1
27.6,61.6,15.0,7.5,Banana,Chalky,5.63,9,493,0,Low,0.0
22.0,81.1,15.0,10.0,Coconut,Sandy,5.38,4,201,0,Low,0.0
30.9,54.5,0.0,17.4,Coconut,Loam,7.27,3,446,1,High,11.6
33.8,55.7,15.0,23.7,Rubber,Chalky,1.76,5,367,0,Medium,0.0
31.8,62.3,0.0,4.6,Pepper,Silty,6.77,0,17,1,Medium,10.5
37.8,45.9,0.0,25.3,Banana,Silty,5.69,8,411,1,High,20.5
30.7,61.5,0.0,25.6,Paddy,Chalky,4.23,6,126,1,High,16.1
32.6,71.1,0.0,5.8,Rubber,Loam,8.39,5,172,1,High,11.2
25.0,51.8,0.0,26.2,Coconut,Sandy,0.98,0,242,1,Medium,14.6
20.5,70.0,15.0,22.8,Rubber,Sandy,6.09,3,486,0,Low,0.0
20.1,38.7,0.0,21.0,Tea,Chalky,2.35,0,62,1,Medium,10.9
24.3,84.0,8.0,6.2,Pepper,Silty,0.98,4,413,0,Low,0.0
25.3,54.9,35.0,5.2,Pepper,Peat,4.7,2,398,0,Low,0.0
27.5,66.8,0.0,9.2,Banana,Peat,7.72,3,284,1,Medium,16.6
25.1,56.7,15.0,7.0,Coconut,Peat,8.36,2,470,0,Low,0.0
35.3,49.8,15.0,10.2,Vegetables,Silty,9.01,3,328,0,Medium,0.0
24.4,59.7,15.0,25.0,Tea,Clay,1.84,3,49,0,Low,0.0
27.5,44.4,15.0,16.8,Vegetables,Sandy,0.83,1,76,0,Low,0.0
38.9,44.4,35.0,6.8,Coconut,Chalky,3.84,2,440,0,Low,0.0
29.6,73.3,35.0,15.2,Coconut,Loam,4.41,1,193,0,Low,0.0
26.3,68.9,60.0,19.5,Tea,Peat,4.58,7,128,0,Low,0.0
22.5,41.0,35.0,4.4,Coconut,Silty,0.88,0,458,0,Low,0.0
38.8,52.6,2.5,22.7,Tea,Sandy,6.22,3,107,1,High,17.2
25.5,40.6,0.0,24.3,Pepper,Loam,6.93,0,181,1,Medium,12.4
33.0,69.5,15.0,13.1,Pepper,Clay,0.67,9,443,0,Low,0.0
37.9,54.4,60.0,21.9,Coconut,Peat,6.68,5,184,0,Medium,0.0
36.1,37.7,0.0,27.9,Coffee,Sandy,6.14,7,72,1,High,18.9
20.3,39.9,0.0,24.2,Tea,Silty,7.89,2,123,1,Medium,12.9
29.4,73.0,0.0,27.2,Banana,Silty,6.12,3,124,1,Medium,16.1
26.9,67.8,8.0,18.4,Vegetables,Sandy,9.21,5,453,0,Low,0.0
33.6,52.6,15.0,22.8,Banana,Silty,6.25,0,428,0,Low,0.0
32.9,91.8,0.0,10.1,Banana,Loam,1.28,4,451,1,High,17.3
22.4,61.5,15.0,21.5,Coffee,Clay,6.82,6,45,0,Low,0.0
22.6,40.7,0.0,15.1,Pepper,Sandy,3.52,3,342,1,High,15.9
34.8,42.1,0.0,4.3,Rubber,Clay,5.77,5,189,1,High,16.2
36.2,92.5,0.0,25.6,Banana,Chalky,8.22,5,449,1,High,22.4
27.4,49.4,35.0,15.5,Pepper,Loam,8.38,5,343,0,Low,0.0
27.7,40.3,60.0,27.9,Vegetables,Loam,8.22,9,436,0,Low,0.0
25.8,59.2,8.0,24.6,Coffee,Peat,7.1,0,130,0,Low,0.0
34.0,75.0,2.5,20.6,Banana,Silty,7.66,3,242,1,High,22.0
33.9,72.2,8.0,20.2,Paddy,Chalky,3.42,4,364,0,Low,0.0
36.1,46.8,2.5,17.2,Coconut,Loam,5.05,8,19,1,High,16.6
35.8,93.5,35.0,17.1,Vegetables,Loam,6.56,5,97,0,Low,0.0
29.5,76.4,15.0,18.4,Paddy,Sandy,1.96,2,231,0,Low,0.0
30.4,43.1,35.0,12.8,Rubber,Peat,9.97,9,357,0,Medium,0.0
30.6,56.5,8.0,16.7,Banana,Clay,9.76,5,53,0,Medium,0.0
26.3,75.5,0.0,26.3,Tea,Chalky,3.42,5,488,1,Medium,11.0
22.3,70.1,35.0,12.3,Paddy,Chalky,4.93,0,163,0,Low,0.0
23.2,38.7,2.5,27.9,Coffee,Chalky,3.87,7,216,1,High,11.7
27.4,74.6,60.0,15.0,Coconut,Chalky,4.83,8,489,0,Low,0.0
33.9,43.1,0.0,7.6,Coconut,Clay,6.22,1,229,1,High,17.5
25.6,44.8,2.5,7.9,Paddy,Silty,2.48,9,259,1,High,18.2
31.3,87.3,0.0,6.8,Coffee,Loam,3.31,3,122,1,High,12.7
31.3,43.9,2.5,11.1,Coffee,Loam,1.94,3,420,1,High,10.3
37.9,80.3,35.0,16.1,Vegetables,Chalky,3.49,1,107,0,Low,0.0
37.4,56.6,0.0,10.6,Tea,Peat,1.68,9,345,1,High,17.9
23.4,78.3,60.0,23.2,Rubber,Peat,4.52,4,29,0,Low,0.0
32.8,63.9,8.0,22.9,Vegetables,Loam,3.75,5,404,0,Low,0.0
20.2,48.6,0.0,7.2,Tea,Sandy,6.62,4,171,1,High,13.2
31.4,89.1,2.5,22.1,Coconut,Clay,8.44,9,10,1,High,13.3
31.2,56.2,8.0,5.6,Coconut,Silty,9.39,9,24,0,Medium,0.0
28.5,35.9,0.0,27.0,Vegetables,Silty,4.44,2,118,1,Medium,15.9
20.4,84.2,8.0,18.5,Coconut,Peat,5.47,9,250,0,Low,0.0
32.7,39.8,8.0,4.3,Rubber,Loam,7.55,2,5,0,Low,0.0
27.3,86.3,8.0,15.6,Coffee,Sandy,1.88,3,178,0,Low,0.0
21.2,39.3,35.0,16.5,Rubber,Clay,5.8,4,326,0,Low,0.0
21.9,37.6,0.0,25.7,Paddy,Peat,4.79,9,490,1,High,18.4
28.6,62.1,0.0,8.1,Paddy,Silty,1.67,8,419,1,Medium,17.4
38.8,76.1,0.0,5.1,Vegetables,Peat,1.37,1,314,1,Medium,18.0
32.7,73.5,0.0,22.4,Paddy,Silty,6.01,3,301,1,High,20.0
20.8,93.1,15.0,21.5,Coffee,Chalky,5.16,4,24,0,Low,0.0
21.0,72.1,0.0,20.3,Tea,Peat,5.01,1,110,0,Medium,0.0
26.6,81.9,0.0,11.8,Coconut,Chalky,9.64,7,232,1,Medium,12.5
34.1,71.7,60.0,23.2,Coconut,Silty,7.44,0,402,0,Low,0.0
29.9,39.1,15.0,5.4,Coconut,Loam,1.83,2,167,0,Low,0.0
30.4,59.2,35.0,17.6,Vegetables,Silty,6.92,7,235,0,Medium,0.0
33.9,69.3,0.0,25.8,Paddy,Clay,2.48,6,114,1,High,22.7
29.2,60.1,15.0,26.5,Coconut,Clay,6.73,6,406,0,Low,0.0
26.0,48.5,60.0,21.8,Coffee,Loam,3.87,1,431,0,Low,0.0
30.7,50.7,0.0,21.9,Paddy,Peat,7.48,0,342,1,High,17.3
37.3,38.7,2.5,16.3,Paddy,Sandy,0.56,5,330,1,High,24.1
34.0,36.4,15.0,6.5,Rubber,Peat,4.98,7,18,0,Medium,0.0
31.9,68.0,8.0,7.0,Rubber,Chalky,6.6,8,428,0,Low,0.0
29.4,42.3,0.0,25.4,Coconut,Peat,8.2,2,24,1,Medium,13.0
37.3,69.3,0.0,8.0,Coffee,Silty,8.01,1,33,1,Medium,15.7
31.3,70.4,15.0,18.8,Coffee,Loam,1.33,9,9,0,Low,0.0
29.8,47.8,2.5,4.4,Banana,Clay,6.25,3,190,1,High,19.5
25.9,52.6,0.0,4.5,Rubber,Clay,8.92,6,260,1,High,12.3
32.6,75.7,8.0,4.5,Banana,Sandy,2.48,8,7,0,Low,0.0
32.1,54.2,60.0,25.5,Banana,Loam,2.6,9,396,0,Medium,0.0
24.0,60.0,8.0,9.7,Coffee,Clay,7.72,1,245,0,Low,0.0
27.8,47.6,60.0,23.3,Banana,Peat,3.38,2,196,0,Low,0.0
34.6,76.5,0.0,11.9,Tea,Clay,2.23,8,12,1,High,15.7
32.0,78.6,0.0,11.5,Coconut,Loam,6.63,4,466,1,High,11.6
20.1,66.4,15.0,22.8,Coffee,Clay,4.02,8,491,0,Low,0.0
37.0,85.8,0.0,19.8,Pepper,Chalky,3.72,8,143,1,High,15.9
22.1,49.9,2.5,18.4,Rubber,Sandy,5.69,6,154,1,High,16.1
25.2,89.7,0.0,26.7,Banana,Chalky,3.65,0,173,0,Medium,0.0
32.3,65.6,0.0,11.3,Pepper,Loam,2.18,2,89,1,Medium,10.3
33.0,49.1,0.0,23.5,Pepper,Chalky,8.66,8,108,1,High,12.8
34.1,75.7,2.5,19.0,Rubber,Chalky,3.42,6,282,1,High,17.8
24.1,40.3,35.0,8.0,Rubber,Sandy,5.71,1,62,0,Low,0.0
33.7,65.7,35.0,15.5,Coffee,Peat,9.82,2,371,0,Low,0.0
37.7,59.1,15.0,20.1,Banana,Peat,3.95,0,379,0,Low,0.0
33.8,41.8,0.0,11.4,Coconut,Chalky,3.82,1,291,1,High,14.9
33.2,72.8,8.0,11.2,Coffee,Peat,1.82,3,240,0,Low,0.0
24.2,38.4,35.0,12.6,Paddy,Peat,5.45,5,454,0,Low,0.0
36.7,65.3,8.0,14.0,Vegetables,Loam,2.87,0,356,0,Low,0.0
32.6,70.7,8.0,15.2,Banana,Peat,8.27,4,271,0,Low,0.0
36.2,75.4,0.0,15.0,Coconut,Sandy,9.34,6,481,1,High,20.0
25.9,85.7,8.0,26.1,Coffee,Loam,1.02,7,200,0,Low,0.0
28.0,48.2,0.0,17.3,Vegetables,Chalky,7.55,6,156,1,High,14.5
21.3,78.4,0.0,9.6,Paddy,Silty,5.37,1,282,0,Medium,0.0
27.1,72.3,2.5,9.6,Tea,Silty,9.22,1,86,0,Medium,0.0
34.3,51.5,0.0,13.4,Coconut,Chalky,3.74,4,170,1,High,16.7
29.7,86.7,35.0,20.1,Vegetables,Sandy,5.58,3,322,0,Low,0.0
35.4,54.2,35.0,22.1,Vegetables,Sandy,5.61,0,51,0,Low,0.0
36.4,51.0,0.0,12.3,Rubber,Silty,9.56,7,178,1,High,14.1
37.2,39.1,60.0,11.4,Paddy,Clay,2.72,6,82,0,Medium,0.0
28.1,38.7,2.5,14.0,Vegetables,Peat,8.82,3,125,1,High,16.0
26.3,41.4,35.0,12.1,Coconut,Sandy,3.33,6,472,0,Low,0.0
36.0,89.9,0.0,19.2,Rubber,Clay,1.17,2,113,1,Medium,14.8
35.6,67.7,8.0,8.1,Paddy,Loam,7.51,5,167,0,Low,0.0
24.0,41.9,2.5,26.4,Rubber,Clay,8.29,6,390,1,High,10.8
25.4,52.3,15.0,26.9,Vegetables,Chalky,4.73,2,1,0,Low,0.0
23.2,53.6,8.0,23.9,Vegetables,Clay,6.63,5,238,0,Low,0.0
30.4,40.2,0.0,9.3,Paddy,Sandy,2.49,9,96,1,High,19.2
23.4,58.5,0.0,20.9,Coconut,Sandy,1.53,6,293,1,High,14.5
34.7,55.6,35.0,19.1,Banana,Sandy,4.78,8,150,0,Medium,0.0
34.2,84.6,35.0,23.4,Tea,Clay,3.68,3,223,0,Low,0.0
37.6,72.2,0.0,18.3,Pepper,Peat,4.13,0,96,1,Medium,14.8
24.5,53.0,60.0,26.4,Coffee,Clay,5.5,0,319,0,Low,0.0
28.9,83.1,0.0,13.1,Coconut,Peat,3.76,6,443,1,Medium,10.1
33.1,54.0,0.0,21.4,Coffee,Loam,1.33,8,428,1,High,16.2
23.9,67.6,60.0,25.9,Coconut,Clay,2.83,7,136,0,Low,0.0
26.5,41.7,0.0,27.2,Coffee,Sandy,7.54,4,401,1,High,16.5
